sample_no,printer_type,material,layer_thickness_mm,infill_density_pct,infill_pattern,speed_mm_s,roughness_avg_um,hardness_avg,peak_load_n,peak_stress_kpa,strain_at_break,modulus_mpa,width_mm,thickness_mm,roughness_valid
276,closed,TPU,0.3,50,grid,30,3.6436666666666664,28.4,564.0896666666666,25206.4,3.578333333333333,23.67133333333333,6.193333333333332,3.613333333333333,True
277,closed,TPU,0.3,50,triangles,50,5.853333333333333,27.8,343.0116666666666,15578.4,2.701666666666667,39.77533333333333,6.153333333333333,3.576666666666667,True
278,closed,TPU,0.3,50,zigzag,70,0.0,18.7,387.6903333333333,17195.03333333334,3.478333333333333,26.27066666666667,6.216666666666666,3.626666666666666,False
279,closed,TPU,0.3,80,grid,50,2.8023333333333333,25.0,378.9596666666666,17259.6,2.714333333333334,34.082,6.143333333333334,3.573333333333334,True
280,closed,TPU,0.3,80,triangles,70,4.422999999999999,21.1,371.8713333333333,16615.76666666667,2.766333333333333,30.98433333333334,6.203333333333333,3.61,True
281,closed,TPU,0.3,80,zigzag,30,6.503333333333333,34.7,732.9673333333334,31784.40000000001,4.293,15.20966666666667,6.216666666666666,3.71,True
282,closed,ABS,0.1,20,grid,30,3.1586666666666665,74.9,557.037,26070.63333333333,0.016,1859.669333333333,6.266666666666667,3.41,True
283,closed,ABS,0.1,20,triangles,50,3.798666666666666,78.2,546.4756666666666,25661.36666666667,0.015,1869.314666666666,6.196666666666666,3.436666666666667,True
284,closed,ABS,0.1,20,zigzag,70,3.693,78.7,548.2046666666666,26103.83333333333,0.016,1877.652666666667,6.093333333333334,3.446666666666667,True
285,closed,ABS,0.1,50,grid,50,5.307666666666666,74.9,611.8763333333333,28722.63333333333,0.016,2058.860333333334,6.176666666666667,3.450000000000001,True
286,closed,ABS,0.1,50,triangles,70,2.522666666666667,78.9,571.9966666666668,27225.46666666666,0.014,2113.273333333333,6.066666666666666,3.463333333333333,True
287,closed,ABS,0.1,50,zigzag,30,3.1359999999999997,77.5,593.4203333333334,28625.4,0.016,2054.458333333333,6.05,3.426666666666667,True
288,closed,ABS,0.1,80,grid,70,3.7016666666666667,75.7,709.8613333333333,31463.36666666667,0.016,2363.598666666667,6.350000000000001,3.553333333333333,True
289,closed,ABS,0.1,80,triangles,30,2.3096666666666668,73.91,632.3823333333333,29182.26666666667,0.013,2471.923,6.203333333333333,3.493333333333334,True
290,closed,ABS,0.1,80,zigzag,50,2.546,77.9,709.6933333333333,32409.4,0.017,2320.429333333333,6.286666666666666,3.483333333333333,True
291,closed,ABS,0.2,20,grid,50,9.316333333333333,70.6,542.167,24962.8,0.01633333333333334,1788.043,6.176666666666667,3.52,True
292,closed,ABS,0.2,20,triangles,70,6.9959999999999996,70.3,541.6146666666667,26189.36666666667,0.015,1937.525666666667,5.983333333333333,3.456666666666667,True
293,closed,ABS,0.2,20,zigzag,30,6.560666666666667,77.4,533.8506666666667,25118.83333333333,0.016,1829.141,6.116666666666667,3.476666666666667,True
294,closed,ABS,0.2,50,grid,70,7.022333333333333,75.1,601.407,28773.33333333333,0.016,2120.177666666667,6.123333333333334,3.413333333333334,True
295,closed,ABS,0.2,50,triangles,30,5.494666666666667,78.3,579.228,28083.13333333333,0.01433333333333333,2218.177,6.036666666666666,3.416666666666667,True
